measuredTime,roadStationId,id,sensorValue,timestamp,latitude,longitude,temperature,visibility,uvIndex,drivingDifficultyIndex,precip6Hour,relativeHumidity,snow6Hour,snowMtd,windSpeed,startTime,endTime
2022-02-23T12:03:28Z,23109.0,5054.0,1577.0,2022-02-23 12:00:00,60.254734,25.06756,-5.7,16.09,0.0,0.0,0.0,80.2,0.0,50.6,6.5,,
2022-02-23T13:03:26Z,23109.0,5057.0,95.0,2022-02-23 13:00:00,60.254734,25.06756,-5.4,16.09,0.0,0.0,0.0,82.2,0.0,50.6,1.1,,
2022-02-23T13:03:26Z,23109.0,5056.0,94.0,2022-02-23 13:00:00,60.254734,25.06756,-5.4,16.09,0.0,0.0,0.0,82.2,0.0,50.6,1.1,,
2022-02-23T13:03:26Z,23109.0,5067.0,59.0,2022-02-23 13:00:00,60.254734,25.06756,-5.4,16.09,0.0,0.0,0.0,82.2,0.0,50.6,1.1,,
2022-02-23T13:03:26Z,23109.0,5055.0,1443.0,2022-02-23 13:00:00,60.254734,25.06756,-5.4,16.09,0.0,0.0,0.0,82.2,0.0,50.6,1.1,,
2022-02-23T13:03:26Z,23109.0,5054.0,1875.0,2022-02-23 13:00:00,60.254734,25.06756,-5.4,16.09,0.0,0.0,0.0,82.2,0.0,50.6,1.1,,
2022-02-23T13:03:26Z,23109.0,5071.0,45.0,2022-02-23 13:00:00,60.254734,25.06756,-5.4,16.09,0.0,0.0,0.0,82.2,0.0,50.6,1.1,,
2022-02-23T14:03:29Z,23109.0,5067.0,80.0,2022-02-23 14:00:00,60.254734,25.06756,-5.0,16.09,0.0,0.0,0.0,83.9,0.0,50.6,3.2,,
2022-02-23T14:03:29Z,23109.0,5054.0,2550.0,2022-02-23 14:00:00,60.254734,25.06756,-5.0,16.09,0.0,0.0,0.0,83.9,0.0,50.6,3.2,,
2022-02-23T14:03:29Z,23109.0,5071.0,51.0,2022-02-23 14:00:00,60.254734,25.06756,-5.0,16.09,0.0,0.0,0.0,83.9,0.0,50.6,3.2,,
2022-02-23T14:03:29Z,23109.0,5057.0,96.0,2022-02-23 14:00:00,60.254734,25.06756,-5.0,16.09,0.0,0.0,0.0,83.9,0.0,50.6,3.2,,
2022-02-23T14:03:29Z,23109.0,5055.0,1627.0,2022-02-23 14:00:00,60.254734,25.06756,-5.0,16.09,0.0,0.0,0.0,83.9,0.0,50.6,3.2,,
2022-02-23T14:03:29Z,23109.0,5056.0,94.0,2022-02-23 14:00:00,60.254734,25.06756,-5.0,16.09,0.0,0.0,0.0,83.9,0.0,50.6,3.2,,
2022-02-23T15:03:28Z,23109.0,5067.0,75.0,2022-02-23 15:00:00,60.254734,25.06756,-4.7,16.09,0.0,0.0,0.0,86.9,0.0,50.6,4.3,,
2022-02-23T15:03:28Z,23109.0,5071.0,52.0,2022-02-23 15:00:00,60.254734,25.06756,-4.7,16.09,0.0,0.0,0.0,86.9,0.0,50.6,4.3,,
2022-02-23T15:03:28Z,23109.0,5055.0,1677.0,2022-02-23 15:00:00,60.254734,25.06756,-4.7,16.09,0.0,0.0,0.0,86.9,0.0,50.6,4.3,,
2022-02-23T15:03:28Z,23109.0,5056.0,93.0,2022-02-23 15:00:00,60.254734,25.06756,-4.7,16.09,0.0,0.0,0.0,86.9,0.0,50.6,4.3,,
2022-02-23T15:03:28Z,23109.0,5057.0,96.0,2022-02-23 15:00:00,60.254734,25.06756,-4.7,16.09,0.0,0.0,0.0,86.9,0.0,50.6,4.3,,
2022-02-23T15:03:28Z,23109.0,5054.0,2394.0,2022-02-23 15:00:00,60.254734,25.06756,-4.7,16.09,0.0,0.0,0.0,86.9,0.0,50.6,4.3,,
2022-02-23T16:03:27Z,23109.0,5054.0,1846.0,2022-02-23 16:00:00,60.254734,25.06756,-4.8,16.09,0.0,0.0,0.0,88.6,0.0,50.6,4.3,,
2022-02-23T16:03:27Z,23109.0,5057.0,95.0,2022-02-23 16:00:00,60.254734,25.06756,-4.8,16.09,0.0,0.0,0.0,88.6,0.0,50.6,4.3,,
2022-02-23T16:03:27Z,23109.0,5071.0,49.0,2022-02-23 16:00:00,60.254734,25.06756,-4.8,16.09,0.0,0.0,0.0,88.6,0.0,50.6,4.3,,
2022-02-23T16:03:27Z,23109.0,5055.0,1563.0,2022-02-23 16:00:00,60.254734,25.06756,-4.8,16.09,0.0,0.0,0.0,88.6,0.0,50.6,4.3,,
2022-02-23T16:03:27Z,23109.0,5056.0,92.0,2022-02-23 16:00:00,60.254734,25.06756,-4.8,16.09,0.0,0.0,0.0,88.6,0.0,50.6,4.3,,
2022-02-23T16:03:27Z,23109.0,5067.0,58.0,2022-02-23 16:00:00,60.254734,25.06756,-4.8,16.09,0.0,0.0,0.0,88.6,0.0,50.6,4.3,,
